                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0187,                 3.4588,                 1.1037,                0.88477,                 0.3179,                0.25338,                 0.1405,                 1.6027,                  4.855,                0.89847,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 2.0959,                  3.385,                 1.0623,                0.88711,                0.33333,                0.25645,                0.13855,                 1.5837,                 3.9274,                0.90723,             0.00016089,             0.00016089,             0.00016089
                      3,                  1.969,                 2.9142,                 1.0241,                0.88711,                0.33333,                0.25645,                0.13855,                 1.5837,                 3.9274,                0.90723,             0.00024505,             0.00024505,             0.00024505
                      4,                  1.916,                 2.8163,                 1.0436,                 0.5535,                0.33333,                0.57444,                0.32304,                 1.6525,                 3.0149,                0.92324,             0.00032748,             0.00032748,             0.00032748
                      5,                 1.9495,                 2.5884,                0.99826,                 0.5535,                0.33333,                0.57444,                0.32304,                 1.6525,                 3.0149,                0.92324,             0.00040817,             0.00040817,             0.00040817
                      6,                 1.7831,                 2.4061,                0.99956,                 0.5535,                0.33333,                0.57444,                0.32304,                 1.6525,                 3.0149,                0.92324,             0.00048713,             0.00048713,             0.00048713
                      7,                 1.8991,                  2.421,                 1.0186,                 0.5535,                0.33333,                0.57444,                0.32304,                 1.6525,                 3.0149,                0.92324,             0.00056436,             0.00056436,             0.00056436
                      8,                 1.9158,                 2.4816,                 1.0107,                 0.5535,                0.33333,                0.57444,                0.32304,                 1.6525,                 3.0149,                0.92324,             0.00063986,             0.00063986,             0.00063986
                      9,                 1.8538,                 2.6103,                 1.0275,                0.78102,                0.58333,                0.48321,                0.28315,                  1.904,                 3.6036,                0.91167,             0.00071362,             0.00071362,             0.00071362
                     10,                 1.6577,                 2.7581,                0.93041,                0.78102,                0.58333,                0.48321,                0.28315,                  1.904,                 3.6036,                0.91167,             0.00078565,             0.00078565,             0.00078565
                     11,                 1.8051,                 4.5823,                0.99605,                0.78102,                0.58333,                0.48321,                0.28315,                  1.904,                 3.6036,                0.91167,             0.00085595,             0.00085595,             0.00085595
                     12,                 1.8645,                 3.0219,                0.95932,                0.78102,                0.58333,                0.48321,                0.28315,                  1.904,                 3.6036,                0.91167,             0.00092452,             0.00092452,             0.00092452
                     13,                 1.7316,                 2.6534,                0.92263,                0.78102,                0.58333,                0.48321,                0.28315,                  1.904,                 3.6036,                0.91167,             0.00099135,             0.00099135,             0.00099135
                     14,                 1.7063,                 2.5935,                0.93892,                0.78102,                0.58333,                0.48321,                0.28315,                  1.904,                 3.6036,                0.91167,              0.0010565,              0.0010565,              0.0010565
                     15,                 1.6998,                 3.0362,                0.98621,                0.78102,                0.58333,                0.48321,                0.28315,                  1.904,                 3.6036,                0.91167,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.6813,                  3.121,                 0.9257,                0.78102,                0.58333,                0.48321,                0.28315,                  1.904,                 3.6036,                0.91167,              0.0010644,              0.0010644,              0.0010644
