                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7933,                 6.2546,                 2.2972,                0.01056,                0.03947,                0.00621,                 0.0036,                 1.5914,                 4.9178,                 1.0559,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 2.6047,                 5.4454,                 2.0581,                0.00962,                0.02632,                0.00545,                0.00436,                 1.5416,                 4.6772,                 1.0231,             2.4908e-05,             2.4908e-05,             2.4908e-05
                      3,                 2.4718,                 5.0887,                 2.2585,                0.01923,                0.02632,                0.01117,                0.00894,                 1.4532,                 4.4598,                0.98199,             4.1375e-05,             4.1375e-05,             4.1375e-05
                      4,                 2.3005,                 4.2038,                 1.8399,                  0.125,                0.02632,                 0.0822,                0.07398,                 1.2921,                 4.4086,                0.93321,             5.7733e-05,             5.7733e-05,             5.7733e-05
                      5,                 2.3863,                  3.861,                 1.7494,                 0.1264,                0.13799,                0.11754,                0.09912,                 1.2425,                 4.4647,                0.90683,              7.398e-05,              7.398e-05,              7.398e-05
                      6,                 2.2296,                 3.5412,                 1.6958,                0.12521,                0.29318,                 0.1813,                0.12892,                 1.2211,                 4.3339,                0.88929,             9.0118e-05,             9.0118e-05,             9.0118e-05
                      7,                 1.9233,                 2.9766,                 1.3812,                0.49536,                0.35054,                  0.236,                0.16537,                 1.2305,                 4.5423,                0.89376,             0.00010615,             0.00010615,             0.00010615
                      8,                 1.8108,                 2.3635,                   1.55,                0.22164,                0.40316,                0.25059,                0.16867,                 1.3002,                 6.8217,                0.90533,             0.00012206,             0.00012206,             0.00012206
                      9,                 1.6657,                 2.2151,                 1.4932,                0.23775,                0.34345,                0.24372,                0.16538,                 1.3325,                 7.8015,                 0.9123,             0.00013787,             0.00013787,             0.00013787
                     10,                 1.8246,                 2.6637,                 1.4638,                0.20234,                0.66532,                0.24159,                0.16615,                 1.4003,                  7.984,                0.92258,             0.00015357,             0.00015357,             0.00015357
                     11,                 1.7954,                 2.1024,                 1.4667,                0.20491,                0.67173,                 0.2534,                0.17019,                 1.4921,                 6.5618,                 0.9344,             0.00016916,             0.00016916,             0.00016916
                     12,                 1.7767,                 2.2813,                 1.4136,                0.22052,                0.68489,                0.26796,                0.17202,                 1.5309,                 5.3373,                0.94123,             0.00018464,             0.00018464,             0.00018464
                     13,                 1.9417,                 2.2063,                 1.5564,                 0.5266,                0.34204,                0.27728,                0.18299,                 1.5078,                 4.5443,                  0.948,                 0.0002,                 0.0002,                 0.0002
                     14,                 1.8075,                 2.3363,                 1.2532,                0.55825,                0.35088,                0.30414,                0.19231,                 1.5237,                 3.4033,                0.95615,             0.00021526,             0.00021526,             0.00021526
                     15,                 1.6797,                 2.3846,                 1.1117,                0.59593,                0.34955,                  0.348,                0.21488,                 1.5201,                 2.9258,                0.95741,             0.00023041,             0.00023041,             0.00023041
